"id";"nombre";"abreviatura";"urlgob";"url";"facebook";"twitter";"instagram";"linkedin";"youtube";"tiktok"
1721;"Municipalidad Distrital de Salitral - Morropón";"MDS";"/munisalitral-morropon";"www.gob.pe/munisalitral-morropon";"www.facebook.com/profile.php?id=100089114567209";"";"";"";"";""
1722;"Municipalidad Distrital de San Juan de Bigote";"MDSJB";"/munisanjuandebigote";"www.gob.pe/munisanjuandebigote";"www.facebook.com/profile.php?id=100089079983610";"";"";"";"";""
1723;"Municipalidad Distrital de Santa Catalina de Mossa ";"MDSCM";"/munisantacatalinademossa";"www.gob.pe/munisantacatalinademossa";"www.facebook.com/munidesantacatalinademossa/";"";"instagram.com/muni_santa_catalina_de_mossa";"";"www.youtube.com/@munidesantacatalinademossa";"www.tiktok.com/@munisantacatalina"
1724;"Municipalidad Distrital de Santo Domingo - Morropón";"MDSD";"/munisantodomingo";"www.gob.pe/munisantodomingo";"www.facebook.com/municipalidadsantodomingomorropon?mibextid=ZbWKwL";"";"";"";"";""
1725;"Municipalidad Distrital de Yamango ";"MDY";"/muniyamango";"www.gob.pe/muniyamango";"www.facebook.com/municipalidadyamango/";"";"";"";"";""
1726;"Municipalidad Provincial de Morropón Chulucanas";"MPMCH";"/munichulucanas";"www.gob.pe/munichulucanas";"www.facebook.com/muni.morroponchulucanas/";"";"";"";"www.youtube.com/channel/UCNvOjovOFXXAmAiHtoXRHRA";""
1727;"Municipalidad Distrital de Amotape";"MDA";"/muniamotape";"www.gob.pe/muniamotape";"www.facebook.com/municipalidaddistritaldeamotapeoficial";"";"";"";"";""
1728;"Municipalidad Distrital El Arenal ";"MDEA";"/munielarenal";"www.gob.pe/munielarenal";"www.facebook.com/muni.arenal.7/";"";"";"";"";""
1729;"Municipalidad Distrital de Colán";"MDC";"/municolan";"www.gob.pe/municolan";"www.facebook.com/MuniColan.Oficial";"";"";"";"";""
1730;"Municipalidad Distrital de Tamarindo";"MDT";"/munitamarindo";"www.gob.pe/munitamarindo";"www.facebook.com/munitamarindo";"www.twitter.com/MuniTamarindo";"www.instagram.com/munitamarindo/";"";"";"www.tiktok.com/@munitamarindo"
1731;"Municipalidad Distrital de Vichayal";"MDV";"/munivichayal";"www.gob.pe/munivichayal";"www.facebook.com/profile.php?id=100089262727157";"";"";"";"";""
1732;"Municipalidad Distrital de Castilla - Piura";"MDC";"/municastilla-piura";"www.gob.pe/municastilla-piura";"www.facebook.com/MuniCastillaPiura/";"www.twitter.com/MuniCastilla";"www.instagram.com/muni.castilla/";"";"www.youtube.com/channel/UCJr1l4IQ2pcSic-A6fvWkTw";""
1733;"Municipalidad Distrital de Catacaos";"MDC";"/municatacaos";"www.gob.pe/municatacaos";"www.facebook.com/MunicipalidadDistritalCatacaos/";"";"";"";"www.youtube.com/@MDCatacaos";""
